work_order_id,site_id,alarm_id,created_at,scheduled_at,completed_at,order_type,priority,order_status,provider_code,downtime_minutes,cost_clp,sla_target_hours
OT-00178,SIT-0040,,2026-08-03 12:25:33,2026-08-03 18:25:33,2026-08-04 22:25:33,Correctiva,P3,Completada,PRV-03,388,311062.36,24
OT-00179,SIT-0047,,2026-08-03 12:46:02,2026-08-03 18:46:02,2026-08-05 09:46:02,Correctiva,P3,Completada,PRV-04,435,160014.50,24
OT-00180,SIT-0054,,2026-08-03 13:06:31,2026-08-03 19:06:31,,Emergencia,P4,Cancelada,PRV-05,482,799855.94,72
OT-00181,SIT-0001,ALM-000541,2026-08-03 13:27:00,2026-08-03 19:27:00,,Preventiva,P1,Creada,PRV-01,529,320041.86,2
OT-00182,SIT-0008,ALM-000544,2026-08-03 13:47:29,2026-08-03 19:47:29,,Correctiva,PX,Asignada,PRV-02,576,623843.44,8
OT-00183,SIT-0015,ALM-000547,2026-08-03 14:07:58,2026-08-03 20:07:58,,Correctiva,P2,En terreno,PRV-03,623,451922.44,8
OT-00184,SIT-0022,ALM-000550,2026-08-03 14:28:27,2026-08-03 20:28:27,2026-08-05 18:28:27,Emergencia,P3,Completada,PRV-04,670,3179269.72,24
OT-00185,SIT-0029,ALM-000553,2026-08-03 14:48:56,2026-08-03 20:48:56,2026-08-04 05:48:56,Preventiva,P3,Completada,PRV-05,717,841526.47,24
OT-00186,SIT-0036,ALM-000556,2026-08-03 15:09:25,2026-08-03 21:09:25,,Correctiva,P4,Cancelada,PRV-01,43,139702.14,72
OT-00187,SIT-0043,ALM-000559,2026-08-03 15:29:54,2026-08-03 21:29:54,,Correctiva,P1,Creada,PRV-02,90,408070.11,2
OT-00188,SIT-0050,ALM-000562,2026-08-03 15:50:23,2026-08-03 21:50:23,,Emergencia,P2,Asignada,PRV-03,137,870651.11,8
OT-00189,SIT-0057,ALM-000565,2026-08-03 16:10:52,2026-08-03 22:10:52,,Preventiva,P2,En terreno,PRV-04,184,238547.44,8
OT-00190,SIT-0004,ALM-000568,2026-08-03 16:31:21,2026-08-03 22:31:21,2026-08-04 14:31:21,Correctiva,P3,Completada,PRV-05,231,2493963.34,24
OT-00191,SIT-0011,ALM-000571,2026-08-03 16:51:50,2026-08-03 22:51:50,2026-08-05 01:51:50,Correctiva,P3,Completada,PRV-01,278,643779.88,24
OT-00192,SIT-0018,ALM-000574,2026-08-03 17:12:19,2026-08-03 23:12:19,,Emergencia,P4,Cancelada,PRV-02,325,-25000.00,72
OT-00193,SIT-0025,ALM-000577,2026-08-03 17:32:48,2026-08-03 23:32:48,,Preventiva,P1,Creada,PRV-03,372,1438953.11,2
OT-00194,SIT-0032,,2026-08-03 17:53:17,2026-08-03 23:53:17,2026-08-03 16:53:17,Correctiva,P2,Asignada,PRV-04,419,457538.48,8
OT-00195,SIT-0039,,2026-08-03 18:13:46,2026-08-04 00:13:46,,Correctiva,P2,En terreno,PRV-05,466,150841.99,8
OT-00196,SIT-0046,,2026-08-03 18:34:15,2026-08-04 00:34:15,2026-08-05 10:34:15,Emergencia,P3,Completada,PRV-01,513,339951.13,24
OT-00197,SIT-0053,,2026-08-03 18:54:44,2026-08-04 00:54:44,2026-08-05 21:54:44,Preventiva,P3,Completada,PRV-02,560,201229.79,24
OT-00198,SIT-9999,,2026-08-03 19:15:13,2026-08-04 01:15:13,,Correctiva,P4,Cancelada,PRV-03,607,280399.21,72
OT-00199,SIT-0007,,2026-08-03 19:35:42,2026-08-04 01:35:42,,Correctiva,P1,Creada,PRV-04,654,756160.08,2
OT-00200,SIT-0014,,2026-08-03 19:56:11,2026-08-04 01:56:11,,Emergencia,P2,Asignada,PRV-05,701,473519.58,8
OT-00201,SIT-0021,ALM-000601,2026-08-03 20:16:40,2026-08-04 02:16:40,,Preventiva,P2,En terreno,PRV-01,27,1593102.23,8
OT-00202,SIT-0028,ALM-000604,2026-08-03 20:37:09,2026-08-04 02:37:09,2026-08-04 06:37:09,Correctiva,P3,Completada,PRV-02,74,904566.84,24
OT-00203,SIT-0035,ALM-000607,2026-08-03 20:57:38,2026-08-04 02:57:38,2026-08-04 17:57:38,Correctiva,P3,Completada,PRV-03,121,234574.40,24
OT-00204,SIT-0042,ALM-000610,2026-08-03 21:18:07,2026-08-04 03:18:07,,Emergencia,P4,Cancelada,PRV-04,168,209223.66,72
OT-00205,SIT-0049,ALM-000613,2026-08-03 21:38:36,2026-08-04 03:38:36,,Preventiva,P1,Creada,PRV-05,215,847247.04,2
OT-00206,SIT-0056,ALM-000616,2026-08-03 21:59:05,2026-08-04 03:59:05,,Correctiva,P2,Asignada,PRV-01,262,1936198.00,8
OT-00207,SIT-0003,ALM-000619,2026-08-03 22:19:34,2026-08-04 04:19:34,,Correctiva,P2,En terreno,PRV-02,309,1702802.78,8
OT-00208,SIT-0010,ALM-000622,2026-08-03 22:40:03,2026-08-04 04:40:03,2026-08-05 02:40:03,Emergencia,P3,Completada,PRV-03,356,1327097.37,24
OT-00209,SIT-0017,ALM-000625,2026-08-03 23:00:32,2026-08-04 05:00:32,2026-08-05 14:00:32,Preventiva,P3,Completada,PRV-04,403,305351.38,24
OT-00210,SIT-0024,ALM-000628,2026-08-03 23:21:01,2026-08-04 05:21:01,,Correctiva,P4,Cancelada,PRV-05,450,156347.10,72
OT-00211,SIT-0031,ALM-000631,2026-08-03 23:41:30,2026-08-04 05:41:30,,Correctiva,P1,Creada,PRV-01,497,889044.50,2
OT-00212,SIT-0038,ALM-000634,2026-08-04 00:01:59,2026-08-04 06:01:59,,Emergencia,P2,Asignada,PRV-02,544,953381.75,8
OT-00213,SIT-0045,ALM-000637,2026-08-04 00:22:28,2026-08-04 06:22:28,,Preventiva,P2,En terreno,PRV-03,591,835144.71,8
OT-00214,SIT-0052,,2026-08-04 00:42:57,2026-08-04 06:42:57,2026-08-05 22:42:57,Correctiva,P3,Completada,PRV-04,638,755645.29,24
OT-00215,SIT-0059,,2026-08-04 01:03:26,2026-08-04 07:03:26,2026-08-04 10:03:26,Correctiva,P3,Completada,PRV-05,685,3127464.13,24
OT-00216,SIT-0006,,2026-08-04 01:23:55,2026-08-04 07:23:55,,Emergencia,P4,Cancelada,PRV-01,11,174197.72,72
OT-00217,SIT-0013,,2026-08-04 01:44:24,2026-08-04 07:44:24,,Preventiva,P1,Creada,PRV-02,58,1108716.77,2
OT-00218,SIT-0020,,2026-08-04 02:04:53,2026-08-04 08:04:53,,Correctiva,P2,Asignada,PRV-03,105,150402.53,8
OT-00219,SIT-0027,,2026-08-04 02:25:22,2026-08-04 08:25:22,,Correctiva,P2,En terreno,PRV-04,152,1828924.56,8
OT-00220,SIT-0034,,2026-08-04 02:45:51,2026-08-04 08:45:51,2026-08-04 18:45:51,Emergencia,P3,Completada,PRV-05,199,153255.48,24
OT-00221,SIT-0041,ALM-000661,2026-08-04 03:06:20,2026-08-04 09:06:20,2026-08-05 06:06:20,Preventiva,P3,Completada,PRV-01,246,1169326.47,24
OT-00222,SIT-0048,ALM-000664,2026-08-04 03:26:49,2026-08-04 09:26:49,,Correctiva,P4,Cancelada,PRV-02,293,3263640.67,72
OT-00223,SIT-0055,ALM-000667,2026-08-04 03:47:18,2026-08-04 09:47:18,,Correctiva,P1,Creada,PRV-03,340,867527.60,2
OT-00224,SIT-0002,ALM-000670,2026-08-04 04:07:47,2026-08-04 10:07:47,,Emergencia,P2,Asignada,PRV-04,387,481128.61,8
OT-00225,SIT-0009,ALM-000673,2026-08-04 04:28:16,2026-08-04 10:28:16,,Preventiva,P2,En terreno,PRV-05,434,168894.45,8
OT-00226,SIT-0016,ALM-000676,2026-08-04 04:48:45,2026-08-04 10:48:45,2026-08-05 14:48:45,Correctiva,P3,Completada,PRV-01,481,1492764.77,24
OT-00227,SIT-0023,ALM-000679,2026-08-04 05:09:14,2026-08-04 11:09:14,2026-08-06 02:09:14,Correctiva,P3,Completada,PRV-02,528,138112.36,24
OT-00228,SIT-0030,ALM-000682,2026-08-04 05:29:43,2026-08-04 11:29:43,,Emergencia,P4,Cancelada,PRV-03,575,599032.39,72
OT-00229,SIT-0037,ALM-000685,2026-08-04 05:50:12,2026-08-04 11:50:12,,Preventiva,P1,Creada,PRV-04,622,1385148.02,2
OT-00230,SIT-0044,ALM-000688,2026-08-04 06:10:41,2026-08-04 12:10:41,,Correctiva,P2,Asignada,PRV-05,669,499415.60,8
OT-00231,SIT-0051,ALM-000691,2026-08-04 06:31:10,2026-08-04 12:31:10,,Correctiva,P2,En terreno,PRV-01,716,909054.85,8
OT-00232,SIT-0058,ALM-000694,2026-08-04 06:51:39,2026-08-04 12:51:39,2026-08-06 10:51:39,Emergencia,P3,Completada,PRV-02,42,139416.55,24
OT-00233,SIT-0005,ALM-000697,2026-08-04 07:12:08,2026-08-04 13:12:08,2026-08-04 22:12:08,Preventiva,P3,Completada,PRV-03,89,1794532.80,24
OT-00234,SIT-0012,,2026-08-04 07:32:37,2026-08-04 13:32:37,,Correctiva,P4,Cancelada,PRV-04,136,163457.22,72
OT-00235,SIT-0019,,2026-08-04 07:53:06,2026-08-04 13:53:06,,Correctiva,P1,Creada,PRV-05,183,156870.22,2
OT-00236,SIT-0026,,2026-08-04 08:13:35,2026-08-04 14:13:35,,Emergencia,P2,Asignada,PRV-01,230,2273344.43,8
OT-00237,SIT-0033,,2026-08-04 08:34:04,2026-08-04 14:34:04,,Preventiva,P2,En terreno,PRV-02,277,199646.00,8
OT-00238,SIT-0040,,2026-08-04 08:54:33,2026-08-04 14:54:33,2026-08-05 06:54:33,Correctiva,P3,Completada,PRV-03,324,2312700.72,24
OT-00239,SIT-0047,,2026-08-04 09:15:02,2026-08-04 15:15:02,2026-08-05 18:15:02,Correctiva,P3,Completada,PRV-04,371,241029.11,24
OT-00240,SIT-0054,,2026-08-04 09:35:31,2026-08-04 15:35:31,,Emergencia,P4,Cancelada,PRV-05,418,1388597.44,72
OT-00241,SIT-0001,ALM-000721,2026-08-04 09:56:00,2026-08-04 15:56:00,,Preventiva,P1,Creada,PRV-01,465,259769.61,2
OT-00242,SIT-0008,ALM-000724,2026-08-04 10:16:29,2026-08-04 16:16:29,,Correctiva,P2,Asignada,PRV-02,512,609908.42,8
OT-00243,SIT-0015,ALM-000727,2026-08-04 10:36:58,2026-08-04 16:36:58,,Correctiva,P2,En terreno,PRV-03,559,231935.02,8
OT-00244,SIT-0022,ALM-000730,2026-08-04 10:57:27,2026-08-04 16:57:27,2026-08-06 02:57:27,Emergencia,P3,Completada,PRV-04,606,250556.30,24
OT-00245,SIT-0029,ALM-000733,2026-08-04 11:17:56,2026-08-04 17:17:56,2026-08-06 14:17:56,Preventiva,P3,Completada,PRV-05,653,489080.32,24
OT-00246,SIT-0036,ALM-000736,2026-08-04 11:38:25,2026-08-04 17:38:25,,Correctiva,P4,Cancelada,PRV-01,700,1627409.54,72
OT-00247,SIT-0043,ALM-000739,2026-08-04 11:58:54,2026-08-04 17:58:54,,Correctiva,P1,Creada,PRV-02,26,873143.62,2
OT-00248,SIT-0050,ALM-000742,2026-08-04 12:19:23,2026-08-04 18:19:23,,Emergencia,P2,Asignada,PRV-03,73,255302.68,8
OT-00249,SIT-0057,ALM-000745,2026-08-04 12:39:52,2026-08-04 18:39:52,,Preventiva,P2,En terreno,PRV-04,120,1645482.42,8
OT-00250,SIT-0004,ALM-000748,2026-08-04 13:00:21,2026-08-04 19:00:21,2026-08-04 23:00:21,Correctiva,P3,Completada,PRV-05,167,155753.16,24
OT-00251,SIT-0011,ALM-000751,2026-08-04 13:20:50,2026-08-04 19:20:50,2026-08-05 10:20:50,Correctiva,P3,Completada,PRV-01,214,440474.23,24
OT-00252,SIT-0018,ALM-000754,2026-08-04 13:41:19,2026-08-04 19:41:19,,Emergencia,P4,Cancelada,PRV-02,261,381906.69,72
OT-00253,SIT-0025,ALM-000757,2026-08-04 14:01:48,2026-08-04 20:01:48,,Preventiva,P1,Creada,PRV-03,308,189517.80,2
OT-00254,SIT-0032,,2026-08-04 14:22:17,2026-08-04 20:22:17,,Correctiva,P2,Asignada,PRV-04,355,208373.07,8
OT-00255,SIT-0039,,2026-08-04 14:42:46,2026-08-04 20:42:46,,Correctiva,P2,En terreno,PRV-05,402,137434.14,8
OT-00256,SIT-0046,,2026-08-04 15:03:15,2026-08-04 21:03:15,2026-08-05 19:03:15,Emergencia,P3,Completada,PRV-01,449,3425772.88,24
OT-00257,SIT-0053,,2026-08-04 15:23:44,2026-08-04 21:23:44,2026-08-06 06:23:44,Preventiva,P3,Completada,PRV-02,496,2418838.39,24
OT-00258,SIT-0060,,2026-08-04 15:44:13,2026-08-04 21:44:13,,Correctiva,P4,Cancelada,PRV-03,543,629646.42,72
OT-00259,SIT-0007,,2026-08-04 16:04:42,2026-08-04 22:04:42,,Correctiva,P1,Creada,PRV-04,590,1252551.13,2
OT-00260,SIT-0014,,2026-08-04 16:25:11,2026-08-04 22:25:11,,Emergencia,P2,Asignada,PRV-05,637,3171083.87,8
OT-00261,SIT-0021,ALM-000781,2026-08-04 16:45:40,2026-08-04 22:45:40,,Preventiva,P2,En terreno,PRV-01,684,3506299.22,8
OT-00262,SIT-0028,ALM-000784,2026-08-04 17:06:09,2026-08-04 23:06:09,2026-08-06 15:06:09,Correctiva,P3,Completada,PRV-02,10,1581188.06,24
OT-00263,SIT-0035,ALM-000787,2026-08-04 17:26:38,2026-08-04 23:26:38,2026-08-05 02:26:38,Correctiva,P3,Completada,PRV-03,57,737059.82,24
OT-00264,SIT-0042,ALM-000790,2026-08-04 17:47:07,2026-08-04 23:47:07,,Emergencia,P4,Cancelada,PRV-04,104,185994.23,72
OT-00265,SIT-0049,ALM-000793,2026-08-04 18:07:36,2026-08-05 00:07:36,,Preventiva,P1,Creada,PRV-05,151,293111.99,2
OT-00266,SIT-0056,ALM-000796,2026-08-04 18:28:05,2026-08-05 00:28:05,,Correctiva,P2,Asignada,PRV-01,198,167860.42,8
OT-00267,SIT-0003,ALM-000799,2026-08-04 18:48:34,2026-08-05 00:48:34,,Correctiva,P2,En terreno,PRV-02,245,176653.27,8
OT-00268,SIT-0010,ALM-000802,2026-08-04 19:09:03,2026-08-05 01:09:03,2026-08-05 11:09:03,Emergencia,P3,Completada,PRV-03,292,178731.65,24
OT-00269,SIT-0017,ALM-000805,2026-08-04 19:29:32,2026-08-05 01:29:32,2026-08-05 22:29:32,Preventiva,P3,Completada,PRV-04,339,2714680.15,24
OT-00270,SIT-0024,ALM-000808,2026-08-04 19:50:01,2026-08-05 01:50:01,,Correctiva,P4,Cancelada,PRV-05,386,137099.53,72
OT-00271,SIT-0031,ALM-000811,2026-08-04 20:10:30,2026-08-05 02:10:30,,Correctiva,P1,Creada,PRV-01,433,208494.31,2
OT-00272,SIT-0038,ALM-000814,2026-08-04 20:30:59,2026-08-05 02:30:59,,Emergencia,P2,Asignada,PRV-02,480,496023.37,8
OT-00273,SIT-0045,ALM-000817,2026-08-04 20:51:28,2026-08-05 02:51:28,,Preventiva,P2,En terreno,PRV-03,527,909095.33,8
OT-00274,SIT-0052,,2026-08-04 21:11:57,2026-08-05 03:11:57,2026-08-06 07:11:57,Correctiva,P3,Completada,PRV-04,574,176857.48,24
OT-00275,SIT-0059,,2026-08-04 21:32:26,2026-08-05 03:32:26,2026-08-06 18:32:26,Correctiva,P3,Completada,PRV-05,621,1145339.49,24
OT-00276,SIT-0006,,2026-08-04 21:52:55,2026-08-05 03:52:55,,Emergencia,P4,Cancelada,PRV-01,668,509735.97,72
OT-00277,SIT-0013,,2026-08-04 22:13:24,2026-08-05 04:13:24,,Preventiva,P1,Creada,PRV-02,715,266383.94,2
OT-00278,SIT-0020,,2026-08-04 22:33:53,2026-08-05 04:33:53,,Correctiva,P2,Asignada,PRV-03,41,435058.83,8
OT-00279,SIT-0027,,2026-08-04 22:54:22,2026-08-05 04:54:22,,Correctiva,P2,En terreno,PRV-04,88,841012.15,8
OT-00280,SIT-0034,,2026-08-04 23:14:51,2026-08-05 05:14:51,2026-08-07 03:14:51,Emergencia,P3,Completada,PRV-05,135,860719.24,24
OT-00281,SIT-0041,ALM-000841,2026-08-04 23:35:20,2026-08-05 05:35:20,2026-08-05 14:35:20,Preventiva,P3,Completada,PRV-01,182,158123.73,24
OT-00282,SIT-0048,ALM-000844,2026-08-04 23:55:49,2026-08-05 05:55:49,,Correctiva,P4,Cancelada,PRV-02,229,192724.36,72
OT-00283,SIT-0055,ALM-000847,2026-08-05 00:16:18,2026-08-05 06:16:18,,Correctiva,P1,Creada,PRV-03,276,155302.91,2
OT-00284,SIT-0002,ALM-000850,2026-08-05 00:36:47,2026-08-05 06:36:47,,Emergencia,P2,Asignada,PRV-04,323,282353.99,8
OT-00285,SIT-0009,ALM-000853,2026-08-05 00:57:16,2026-08-05 06:57:16,,Preventiva,P2,En terreno,PRV-05,370,1073997.68,8
OT-00286,SIT-0016,ALM-000856,2026-08-05 01:17:45,2026-08-05 07:17:45,2026-08-05 23:17:45,Correctiva,P3,Completada,PRV-01,417,2805083.11,24
OT-00287,SIT-0023,ALM-000859,2026-08-05 01:38:14,2026-08-05 07:38:14,2026-08-06 10:38:14,Correctiva,P3,Completada,PRV-02,464,1563884.54,24
OT-00288,SIT-0030,ALM-000862,2026-08-05 01:58:43,2026-08-05 07:58:43,,Emergencia,P4,Cancelada,PRV-03,511,174169.57,72
OT-00289,SIT-0037,ALM-000865,2026-08-05 02:19:12,2026-08-05 08:19:12,,Preventiva,P1,Creada,PRV-04,558,240205.84,2
OT-00290,SIT-0044,ALM-000868,2026-08-05 02:39:41,2026-08-05 08:39:41,,Correctiva,P2,Asignada,PRV-05,605,274523.13,8
OT-00291,SIT-0051,ALM-000871,2026-08-05 03:00:10,2026-08-05 09:00:10,,Correctiva,P2,En terreno,PRV-01,652,194280.28,8
OT-00292,SIT-0058,ALM-000874,2026-08-05 03:20:39,2026-08-05 09:20:39,2026-08-06 19:20:39,Emergencia,P3,Completada,PRV-02,699,486500.11,24
OT-00293,SIT-0005,ALM-000877,2026-08-05 03:41:08,2026-08-05 09:41:08,2026-08-07 06:41:08,Preventiva,P3,Completada,PRV-03,25,3526283.51,24
OT-00294,SIT-0012,,2026-08-05 04:01:37,2026-08-05 10:01:37,,Correctiva,P4,Cancelada,PRV-04,72,385475.53,72
OT-00295,SIT-0019,,2026-08-05 04:22:06,2026-08-05 10:22:06,,Correctiva,P1,Creada,PRV-05,119,169070.62,2
OT-00296,SIT-0026,,2026-08-05 04:42:35,2026-08-05 10:42:35,,Emergencia,P2,Asignada,PRV-01,166,595048.78,8
OT-00297,SIT-0033,,2026-08-05 05:03:04,2026-08-05 11:03:04,,Preventiva,P2,En terreno,PRV-02,213,805075.15,8
OT-00298,SIT-0040,,2026-08-05 05:23:33,2026-08-05 11:23:33,2026-08-05 15:23:33,Correctiva,P3,Completada,PRV-03,260,1051940.63,24
OT-00299,SIT-0047,,2026-08-05 05:44:02,2026-08-05 11:44:02,2026-08-06 02:44:02,Correctiva,P3,Completada,PRV-04,307,261125.65,24
OT-00300,SIT-0054,,2026-08-05 06:04:31,2026-08-05 12:04:31,,Emergencia,P4,Cancelada,PRV-05,354,564626.04,72
OT-00301,SIT-0001,ALM-000901,2026-08-05 06:25:00,2026-08-05 12:25:00,,Preventiva,P1,Creada,PRV-01,401,698723.00,2
OT-00302,SIT-0008,ALM-000904,2026-08-05 06:45:29,2026-08-05 12:45:29,,Correctiva,P2,Asignada,PRV-02,448,401229.48,8
OT-00303,SIT-0015,ALM-000907,2026-08-05 07:05:58,2026-08-05 13:05:58,,Correctiva,P2,En terreno,PRV-03,495,311605.25,8
OT-00304,SIT-0022,ALM-000910,2026-08-05 07:26:27,2026-08-05 13:26:27,2026-08-06 11:26:27,Emergencia,P3,Completada,PRV-04,542,453173.24,24
OT-00305,SIT-0029,ALM-000913,2026-08-05 07:46:56,2026-08-05 13:46:56,2026-08-06 22:46:56,Preventiva,P3,Completada,PRV-05,589,407757.90,24
OT-00306,SIT-0036,ALM-000916,2026-08-05 08:07:25,2026-08-05 14:07:25,,Correctiva,P4,Cancelada,PRV-01,636,2077064.18,72
OT-00307,SIT-0043,ALM-000919,2026-08-05 08:27:54,2026-08-05 14:27:54,,Correctiva,P1,Creada,PRV-02,683,1385653.37,2
OT-00308,SIT-0050,ALM-000922,2026-08-05 08:48:23,2026-08-05 14:48:23,,Emergencia,P2,Asignada,PRV-03,9,3483218.92,8
OT-00309,SIT-0057,ALM-000925,2026-08-05 09:08:52,2026-08-05 15:08:52,,Preventiva,P2,En terreno,PRV-04,56,1123424.42,8
OT-00310,SIT-0004,ALM-000928,2026-08-05 09:29:21,2026-08-05 15:29:21,2026-08-07 07:29:21,Correctiva,P3,Completada,PRV-05,103,1546666.71,24
OT-00311,SIT-0011,ALM-000931,2026-08-05 09:49:50,2026-08-05 15:49:50,2026-08-05 18:49:50,Correctiva,P3,Completada,PRV-01,150,178919.13,24
OT-00312,SIT-0018,ALM-000934,2026-08-05 10:10:19,2026-08-05 16:10:19,,Emergencia,P4,Cancelada,PRV-02,197,1322956.10,72
OT-00313,SIT-0025,ALM-000937,2026-08-05 10:30:48,2026-08-05 16:30:48,,Preventiva,P1,Creada,PRV-03,244,474984.83,2
OT-00314,SIT-0032,,2026-08-05 10:51:17,2026-08-05 16:51:17,,Correctiva,P2,Asignada,PRV-04,291,538321.48,8
OT-00315,SIT-0039,,2026-08-05 11:11:46,2026-08-05 17:11:46,,Correctiva,P2,En terreno,PRV-05,338,348921.17,8
OT-00316,SIT-0046,,2026-08-05 11:32:15,2026-08-05 17:32:15,2026-08-06 03:32:15,Emergencia,P3,Completada,PRV-01,385,410675.62,24
OT-00317,SIT-0053,,2026-08-05 11:52:44,2026-08-05 17:52:44,2026-08-06 14:52:44,Preventiva,P3,Completada,PRV-02,432,887394.11,24
OT-00318,SIT-0060,,2026-08-05 12:13:13,2026-08-05 18:13:13,,Correctiva,P4,Cancelada,PRV-03,479,657150.32,72
OT-00319,SIT-0007,,2026-08-05 12:33:42,2026-08-05 18:33:42,,Correctiva,P1,Creada,PRV-04,526,197852.29,2
OT-00320,SIT-0014,,2026-08-05 12:54:11,2026-08-05 18:54:11,,Emergencia,P2,Asignada,PRV-05,573,1409632.51,8
OT-00321,SIT-0021,ALM-000961,2026-08-05 13:14:40,2026-08-05 19:14:40,,Preventiva,P2,En terreno,PRV-01,620,166433.11,8
OT-00322,SIT-0028,ALM-000964,2026-08-05 13:35:09,2026-08-05 19:35:09,2026-08-06 23:35:09,Correctiva,P3,Completada,PRV-02,667,1045221.95,24
OT-00323,SIT-0035,ALM-000967,2026-08-05 13:55:38,2026-08-05 19:55:38,2026-08-07 10:55:38,Correctiva,P3,Completada,PRV-03,714,1384430.83,24
OT-00324,SIT-0042,ALM-000970,2026-08-05 14:16:07,2026-08-05 20:16:07,,Emergencia,P4,Cancelada,PRV-04,40,142863.48,72
OT-00325,SIT-0049,ALM-000973,2026-08-05 14:36:36,2026-08-05 20:36:36,,Preventiva,P1,Creada,PRV-05,87,270052.75,2
OT-00326,SIT-0056,ALM-000976,2026-08-05 14:57:05,2026-08-05 20:57:05,,Correctiva,P2,Asignada,PRV-01,134,375872.29,8
OT-00327,SIT-0003,ALM-000979,2026-08-05 15:17:34,2026-08-05 21:17:34,,Correctiva,P2,En terreno,PRV-02,181,3329909.04,8
OT-00328,SIT-0010,ALM-000982,2026-08-05 15:38:03,2026-08-05 21:38:03,2026-08-07 19:38:03,Emergencia,P3,Completada,PRV-03,228,2534994.87,24
OT-00329,SIT-0017,ALM-000985,2026-08-05 15:58:32,2026-08-05 21:58:32,2026-08-06 06:58:32,Preventiva,P3,Completada,PRV-04,275,3151333.04,24
OT-00330,SIT-0024,ALM-000988,2026-08-05 16:19:01,2026-08-05 22:19:01,,Correctiva,P4,Cancelada,PRV-05,322,718526.41,72
OT-00331,SIT-0031,ALM-000991,2026-08-05 16:39:30,2026-08-05 22:39:30,,Correctiva,P1,Creada,PRV-01,369,1971940.30,2
OT-00332,SIT-0038,ALM-000994,2026-08-05 16:59:59,2026-08-05 22:59:59,,Emergencia,P2,Asignada,PRV-02,416,2843214.56,8
OT-00333,SIT-0045,ALM-000997,2026-08-05 17:20:28,2026-08-05 23:20:28,,Preventiva,P2,En terreno,PRV-03,463,394151.60,8
OT-00334,SIT-0052,,2026-08-05 17:40:57,2026-08-05 23:40:57,2026-08-06 15:40:57,Correctiva,P3,Completada,PRV-04,510,1766586.36,24
OT-00335,SIT-0059,,2026-08-05 18:01:26,2026-08-06 00:01:26,2026-08-07 03:01:26,Correctiva,P3,Completada,PRV-05,557,737903.19,24
OT-00336,SIT-0006,,2026-08-05 18:21:55,2026-08-06 00:21:55,,Emergencia,P4,Cancelada,PRV-01,604,552983.53,72
OT-00337,SIT-0013,,2026-08-05 18:42:24,2026-08-06 00:42:24,,Preventiva,P1,Creada,PRV-02,651,321895.02,2
OT-00338,SIT-0020,,2026-08-05 19:02:53,2026-08-06 01:02:53,,Correctiva,P2,Asignada,PRV-03,698,159647.23,8
OT-00339,SIT-0027,,2026-08-05 19:23:22,2026-08-06 01:23:22,,Correctiva,P2,En terreno,PRV-04,24,923057.59,8
OT-00340,SIT-0034,,2026-08-05 19:43:51,2026-08-06 01:43:51,2026-08-07 11:43:51,Emergencia,P3,Completada,PRV-05,71,1270050.52,24
OT-00341,SIT-0041,ALM-001021,2026-08-05 20:04:20,2026-08-06 02:04:20,2026-08-07 23:04:20,Preventiva,P3,Completada,PRV-01,118,2630401.98,24
OT-00342,SIT-0048,ALM-001024,2026-08-05 20:24:49,2026-08-06 02:24:49,,Correctiva,P4,Cancelada,PRV-02,165,182140.59,72
OT-00343,SIT-0055,ALM-001027,2026-08-05 20:45:18,2026-08-06 02:45:18,,Correctiva,P1,Creada,PRV-03,212,411005.89,2
OT-00344,SIT-0002,ALM-001030,2026-08-05 21:05:47,2026-08-06 03:05:47,,Emergencia,P2,Asignada,PRV-04,259,995013.38,8
OT-00345,SIT-0009,ALM-001033,2026-08-05 21:26:16,2026-08-06 03:26:16,,Preventiva,P2,En terreno,PRV-05,306,435574.74,8
OT-00346,SIT-0016,ALM-001036,2026-08-05 21:46:45,2026-08-06 03:46:45,2026-08-06 07:46:45,Correctiva,P3,Completada,PRV-01,353,434341.08,24
OT-00347,SIT-0023,ALM-001039,2026-08-05 22:07:14,2026-08-06 04:07:14,2026-08-06 19:07:14,Correctiva,P3,Completada,PRV-02,400,763523.97,24
OT-00348,SIT-0030,ALM-001042,2026-08-05 22:27:43,2026-08-06 04:27:43,,Emergencia,P4,Cancelada,PRV-03,447,1728241.29,72
OT-00349,SIT-0037,ALM-001045,2026-08-05 22:48:12,2026-08-06 04:48:12,,Preventiva,P1,Creada,PRV-04,494,184501.14,2
OT-00350,SIT-0044,ALM-001048,2026-08-05 23:08:41,2026-08-06 05:08:41,,Correctiva,P2,Asignada,PRV-05,541,289646.04,8
OT-00351,SIT-0051,ALM-001051,2026-08-05 23:29:10,2026-08-06 05:29:10,,Correctiva,P2,En terreno,PRV-01,588,391138.65,8
OT-00352,SIT-0058,ALM-001054,2026-08-05 23:49:39,2026-08-06 05:49:39,2026-08-07 03:49:39,Emergencia,P3,Completada,PRV-02,635,1157400.91,24
OT-00353,SIT-0005,ALM-001057,2026-08-06 00:10:08,2026-08-06 06:10:08,2026-08-07 15:10:08,Preventiva,P3,Completada,PRV-03,682,259562.63,24
OT-00354,SIT-0012,,2026-08-06 00:30:37,2026-08-06 06:30:37,,Correctiva,P4,Cancelada,PRV-04,8,286404.50,72
OT-00355,SIT-0019,,2026-08-06 00:51:06,2026-08-06 06:51:06,,Correctiva,P1,Creada,PRV-05,55,422974.40,2
